h_dormir,h_alimentarse,h_cuipersonal,h_estudio,h_domesticas,h_ocio,h_medico,sexo,edad,educ_in,anio_ed,publ,trabaja_rem,hijos,celular,log_ing,AFAM_h,aniosed_h,act,inact,servdom_pag,tv,tv_abon,compu,disc_h,mdeo
8,1.5,2,4,0,1,0,0,14,1,2,0,0,0,1,10.83475773021699,0,7,2,2,0,1,0,1,0,1
10,.5,.25,7,0,3,0,1,16,1,4,1,0,0,1,10.5703082877786,1,9,1,3,0,1,1,1,0,0
8.5,1,.3333333432674408,7,0,1,0,1,14,1,1,1,0,0,0,9.378861795492991,1,9,1,3,0,1,0,1,0,1
10,2,1,4,1,2,0,0,16,1,4,1,0,0,1,10.69731117056821,1,11,2,3,0,1,1,1,0,0
10,2,.5,4,0,1,0,0,14,1,2,1,0,0,1,10.69731117056821,1,11,2,3,0,1,1,1,0,0
8,.5,.5,4,3,0,0,0,30,1,5,1,0,1,1,10.82339453787679,1,10,0,5,0,1,0,1,0,1
8,1,1,0,0,2,0,1,17,1,4,1,0,0,1,9.957187074634401,0,11,1,1,0,1,0,1,0,0
8,1,.25,0,0,1.5,0,1,20,1,2,1,0,0,1,10.37879438656717,0,9.75,1,3,0,1,1,1,0,1
9,1.5,1,0,.25,1,0,0,19,1,4,1,0,0,1,10.37879438656717,0,9.75,1,3,0,1,1,1,0,1
7,1,1,0,0,3,0,1,18,0,5,1,0,0,1,10.8388053168929,1,11.66666666666667,2,3,0,1,1,1,0,1
7,1,1,5,0,1,0,0,16,1,4,0,0,0,1,10.8388053168929,1,11.66666666666667,2,3,0,1,1,1,0,1
8,1,1,3,1,1,0,0,26,1,5,1,0,0,1,11.067752585115,0,10,0,2,0,1,1,1,0,0
10,.0833333358168602,.5,3,0,3,0,1,17,1,3,1,0,0,1,10.40795450271898,0,7,1,2,0,1,1,1,0,0
10,1.5,.3333333432674408,2,0,4,0,1,18,1,5,0,0,0,1,10.84636724413876,0,13,1,3,0,1,1,1,0,1
8,.3333333432674408,1,0,0,0,0,1,21,1,3,1,1,0,1,11.19112678323678,1,11.25,1,6,0,1,1,1,0,0
7,.8333333134651184,1,5,0,2,0,1,18,1,3,1,0,0,1,10.60081548157543,1,11,2,2,0,1,1,1,0,0
